Number	Offset	Address		Size	Type	String
254	0000cc77	000000014000cc77	Section(0)['.text']	06	A	H9t1H
255	0000ccc8	000000014000ccc8	Section(0)['.text']	09	A	t$WAUAVH
256	0000cd33	000000014000cd33	Section(0)['.text']	07	A	tfD9l~
257	0000cdb5	000000014000cdb5	Section(0)['.text']	06	A	 A^A]_
258	0000cdc8	000000014000cdc8	Section(0)['.text']	09	A	t$WAVAWH
259	0000ce2c	000000014000ce2c	Section(0)['.text']	05	A	D$hH;
260	0000ce50	000000014000ce50	Section(0)['.text']	06	A	0A_A^_
261	0000cef8	000000014000cef8	Section(0)['.text']	05	A	D$hH9
262	0000cf12	000000014000cf12	Section(0)['.text']	0f	A	\$UVWATAUAVAWH
263	0000cf97	000000014000cf97	Section(0)['.text']	08	A	ukA;,$t 
264	0000d07e	000000014000d07e	Section(0)['.text']	08	A	u.A;,$t
265	0000d11b	000000014000d11b	Section(0)['.text']	0b	A	A_A^A]A\_^]
266	0000d187	000000014000d187	Section(0)['.text']	05	A	VWAVH
267	0000d211	000000014000d211	Section(0)['.text']	06	A	tfD;I
268	0000d25e	000000014000d25e	Section(0)['.text']	05	A	ytH
269	0000d2c2	000000014000d2c2	Section(0)['.text']	05	A	0A^_^
270	0000d59a	000000014000d59a	Section(0)['.text']	05	A	f94Gu
271	0000d7e2	000000014000d7e2	Section(0)['.text']	05	A	D$`E3
272	0000d910	000000014000d910	Section(0)['.text']	0c	A	@SUVWATAVAWH
273	0000d954	000000014000d954	Section(0)['.text']	06	A	\$0H9
274	0000d988	000000014000d988	Section(0)['.text']	05	A	f9xu
275	0000d9df	000000014000d9df	Section(0)['.text']	05	A	f9pu
276	0000da0c	000000014000da0c	Section(0)['.text']	06	A	H;|$0s
277	0000daa4	000000014000daa4	Section(0)['.text']	0a	A	A_A^A\_^][
278	0000db40	000000014000db40	Section(0)['.text']	0d	A	t$WATAUAVAWH
279	0000dc33	000000014000dc33	Section(0)['.text']	0a	A	0A_A^A]A\_
280	0000dc69	000000014000dc69	Section(0)['.text']	05	A	|$@4s
281	0000dcaf	000000014000dcaf	Section(0)['.text']	05	A	UWAVH
282	0000dee8	000000014000dee8	Section(0)['.text']	05	A	t$WH
283	0000deff	000000014000deff	Section(0)['.text']	05	A	f9,Zu
284	0000e124	000000014000e124	Section(0)['.text']	05	A	t$WH
285	0000e195	000000014000e195	Section(0)['.text']	05	A	f9Gt
286	0000e247	000000014000e247	Section(0)['.text']	08	A	l$VWAVH
287	0000e366	000000014000e366	Section(0)['.text']	05	A	0A^_^
288	0000e4eb	000000014000e4eb	Section(0)['.text']	08	A	l$ VWAVH
289	0000e537	000000014000e537	Section(0)['.text']	05	A	|$ H;
290	0000e587	000000014000e587	Section(0)['.text']	05	A	|$ H;
291	0000e9c6	000000014000e9c6	Section(0)['.text']	06	A	fD9Su
292	0000e9dd	000000014000e9dd	Section(0)['.text']	06	A	fE9Au
293	0000eaee	000000014000eaee	Section(0)['.text']	06	A	fA9<^u
294	0000ebb4	000000014000ebb4	Section(0)['.text']	06	A	|$AVH
295	0000ec40	000000014000ec40	Section(0)['.text']	09	A	t$WAVAWH
296	0000ec6a	000000014000ec6a	Section(0)['.text']	06	A	fD9<Zu
297	0000ed6c	000000014000ed6c	Section(0)['.text']	06	A	 A_A^_
298	0000ef98	000000014000ef98	Section(0)['.text']	05	A	t$WH
299	0000f02f	000000014000f02f	Section(0)['.text']	05	A	H;{ H
300	0000f1a7	000000014000f1a7	Section(0)['.text']	05	A	H;J r
301	0000f1c8	000000014000f1c8	Section(0)['.text']	09	A	t$WAVAWH
302	0000f1e6	000000014000f1e6	Section(0)['.text']	05	A	f9,Au
303	0000f266	000000014000f266	Section(0)['.text']	06	A	 A_A^_
304	0000f277	000000014000f277	Section(0)['.text']	0f	A	D$UVWATAUAVAWH
305	0000f526	000000014000f526	Section(0)['.text']	0c	A	@A_A^A]A\_^]
306	0000f540	000000014000f540	Section(0)['.text']	0c	A	L$ UWATAVAWH
307	0000f601	000000014000f601	Section(0)['.text']	05	A	:@u$H
308	0000f62b	000000014000f62b	Section(0)['.text']	05	A	:-t[f
309	0000f6c4	000000014000f6c4	Section(0)['.text']	09	A	0A_A^A\_]
310	0000f772	000000014000f772	Section(0)['.text']	05	A	VWAVH
311	0000f7aa	000000014000f7aa	Section(0)['.text']	05	A	t8H;O
312	0000f870	000000014000f870	Section(0)['.text']	05	A	@A^_^
313	0000f884	000000014000f884	Section(0)['.text']	0d	A	|$ UATAUAVAWH
314	0000fa78	000000014000fa78	Section(0)['.text']	09	A	A_A^A]A\]
315	0000fad4	000000014000fad4	Section(0)['.text']	05	A	tH;C
316	0000fb07	000000014000fb07	Section(0)['.text']	06	A	|$ AVH
317	0000fc29	000000014000fc29	Section(0)['.text']	05	A	p AWH
318	0000fd64	000000014000fd64	Section(0)['.text']	0d	A	t$ WATAUAVAWH
319	0000fe86	000000014000fe86	Section(0)['.text']	05	A	M#u0M
320	0000ff7e	000000014000ff7e	Section(0)['.text']	0a	A	 A_A^A]A\_
321	0000ffe7	000000014000ffe7	Section(0)['.text']	08	A	t$ WAVE3
322	000100e9	00000001400100e9	Section(0)['.text']	05	A	/t"fA
323	0001010e	000000014001010e	Section(0)['.text']	06	A	fG9YM
324	0001011e	000000014001011e	Section(0)['.text']	07	A	<Q/t4fA
325	00010126	0000000140010126	Section(0)['.text']	07	A	<Q\t,fA
326	0001012e	000000014001012e	Section(0)['.text']	06	A	<Q:uCH
327	00010179	0000000140010179	Section(0)['.text']	05	A	fE9Q
328	000101e6	00000001400101e6	Section(0)['.text']	06	A	fE;QA
329	000101f9	00000001400101f9	Section(0)['.text']	06	A	t$0A^_
330	0001020c	000000014001020c	Section(0)['.text']	05	A	t$WH
331	00010282	0000000140010282	Section(0)['.text']	07	A	sf9,Nu
332	0001030e	000000014001030e	Section(0)['.text']	05	A	\$ E3
333	0001032f	000000014001032f	Section(0)['.text']	08	A	l$VWAVH
334	000103db	00000001400103db	Section(0)['.text']	05	A	 A^_^
335	000103eb	00000001400103eb	Section(0)['.text']	08	A	t$ UWAVH
336	000105d2	00000001400105d2	Section(0)['.text']	05	A	UWAVH
337	00010710	0000000140010710	Section(0)['.text']	05	A	 A^_]
338	00010947	0000000140010947	Section(0)['.text']	05	A	|$UH
339	00010c9c	0000000140010c9c	Section(0)['.text']	05	A	t$WH
340	00011254	0000000140011254	Section(0)['.text']	05	A	t$WH
341	00011416	0000000140011416	Section(0)['.text']	0b	A	\$UVWATAVH
342	00011442	0000000140011442	Section(0)['.text']	05	A	E0y6H
343	00011552	0000000140011552	Section(0)['.text']	08	A	 A^A\_^]
344	000115a6	00000001400115a6	Section(0)['.text']	05	A	D$SH
345	00011767	0000000140011767	Section(0)['.text']	05	A	l$WH
346	0001188e	000000014001188e	Section(0)['.text']	06	A	D$0H=#
347	00011a2f	0000000140011a2f	Section(0)['.text']	06	A	fE9@u
348	00011e72	0000000140011e72	Section(0)['.text']	05	A	HcQ<H
349	00011eec	0000000140011eec	Section(0)['.text']	05	A	D9Cs
350	00011ef5	0000000140011ef5	Section(0)['.text']	05	A	+C9C
351	00011f38	0000000140011f38	Section(0)['.text']	05	A	|$UH
352	00011ff7	0000000140011ff7	Section(0)['.text']	06	A	Authu7
353	00011fff	0000000140011fff	Section(0)['.text']	06	A	cAMDu/
354	00012007	0000000140012007	Section(0)['.text']	07	A	entiu'3
355	00012095	0000000140012095	Section(0)['.text']	05	A	x AVH
356	000121a6	00000001400121a6	Section(0)['.text']	05	A	@SUWH
357	00012249	0000000140012249	Section(0)['.text']	05	A	@SUWH
358	00013d58	0000000140013d58	Section(1)['.rdata']	0d	A	bad exception
359	00013d90	0000000140013d90	Section(1)['.rdata']	20	U	api-ms-win-core-synch-l1-2-0.dll
360	00013dd8	0000000140013dd8	Section(1)['.rdata']	18	A	SleepConditionVariableCS
361	00013df8	0000000140013df8	Section(1)['.rdata']	18	A	WakeAllConditionVariable
362	00013e28	0000000140013e28	Section(1)['.rdata']	0c	U	BetaPlatform
363	00013e48	0000000140013e48	Section(1)['.rdata']	1a	U	ManagedDefenderProductType
364	00013e80	0000000140013e80	Section(1)['.rdata']	0b	U	PassiveMode
365	00013e98	0000000140013e98	Section(1)['.rdata']	0b	U	PartnerGUID
366	00013eb0	0000000140013eb0	Section(1)['.rdata']	2c	U	Software\Microsoft\Windows Defender\Features
367	00013f10	0000000140013f10	Section(1)['.rdata']	0a	U	SenseOrgId
368	00013f28	0000000140013f28	Section(1)['.rdata']	0b	U	%d.%d.%d.%d
369	00013f40	0000000140013f40	Section(1)['.rdata']	0e	A	ServiceCrtMain
370	00013f70	0000000140013f70	Section(1)['.rdata']	0e	U	%d.%d.%d.%d-%d
371	00013f90	0000000140013f90	Section(1)['.rdata']	0c	A	ValidateDrop
372	00013fa0	0000000140013fa0	Section(1)['.rdata']	0d	U	%ls\mpsvc.dll
373	00013fc0	0000000140013fc0	Section(1)['.rdata']	1b	U	Miscellaneous Configuration
374	00013ff8	0000000140013ff8	Section(1)['.rdata']	17	U	MpService_AllowTestCert
375	00014028	0000000140014028	Section(1)['.rdata']	0c	U	%ls\Platform
376	00014048	0000000140014048	Section(1)['.rdata']	11	U	NewDropIdLocation
377	00014070	0000000140014070	Section(1)['.rdata']	12	U	%ls\%d.%d.%d.%d-%d
378	00014098	0000000140014098	Section(1)['.rdata']	0f	U	BlockedLocation
